analysis_id,outcome,scenario,k,benefit_estimate,benefit_ci_low,benefit_ci_high,threshold_points,threshold_context,threshold_result,horizon_warning
1.1,ADAS-Cog scale at 18 months,Cochrane class pool,13,1.0856713831974472,0.6573698946977925,1.513972871697102,2,ADAS-Cog: lower end of 2-3 point MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.1,ADAS-Cog scale at 18 months,Cochrane class pool,13,1.0856713831974472,0.6573698946977925,1.513972871697102,3,ADAS-Cog: upper end of 2-3 point MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.1,ADAS-Cog scale at 18 months,Cochrane class pool,13,1.0856713831974472,0.6573698946977925,1.513972871697102,4,ADAS-Cog: dementia benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.1,ADAS-Cog scale at 18 months,Currently active agents: lecanemab + donanemab,2,1.395814056053547,0.8033771601713214,1.9882509519357727,2,ADAS-Cog: lower end of 2-3 point MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.1,ADAS-Cog scale at 18 months,Currently active agents: lecanemab + donanemab,2,1.395814056053547,0.8033771601713214,1.9882509519357727,3,ADAS-Cog: upper end of 2-3 point MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.1,ADAS-Cog scale at 18 months,Currently active agents: lecanemab + donanemab,2,1.395814056053547,0.8033771601713214,1.9882509519357727,4,ADAS-Cog: dementia benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.1,ADAS-Cog scale at 18 months,Response primary: clearing approved-generation trials,4,1.3118700882666376,0.8502640813209852,1.77347609521229,2,ADAS-Cog: lower end of 2-3 point MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.1,ADAS-Cog scale at 18 months,Response primary: clearing approved-generation trials,4,1.3118700882666376,0.8502640813209852,1.77347609521229,3,ADAS-Cog: upper end of 2-3 point MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.1,ADAS-Cog scale at 18 months,Response primary: clearing approved-generation trials,4,1.3118700882666376,0.8502640813209852,1.77347609521229,4,ADAS-Cog: dementia benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
1.3,ADAS-Cog scale above 24 months,Cochrane class pool,2,1.2670154834383591,0.31440111163661777,2.219629855240101,2,ADAS-Cog: lower end of 2-3 point MCI benchmark cited by Cochrane; not horizon-validated,95% CI compatible with threshold,Threshold originated from shorter follow-up
1.3,ADAS-Cog scale above 24 months,Cochrane class pool,2,1.2670154834383591,0.31440111163661777,2.219629855240101,3,ADAS-Cog: upper end of 2-3 point MCI benchmark cited by Cochrane; not horizon-validated,Threshold excluded by 95% CI,Threshold originated from shorter follow-up
1.3,ADAS-Cog scale above 24 months,Cochrane class pool,2,1.2670154834383591,0.31440111163661777,2.219629855240101,4,ADAS-Cog: dementia benchmark cited by Cochrane; not horizon-validated,Threshold excluded by 95% CI,Threshold originated from shorter follow-up
2.1,CDR-SB scale at 18 months,Cochrane class pool,9,0.2916091699352105,4.413102315771744e-4,0.5827770296388439,1,CDR-SB: MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
2.1,CDR-SB scale at 18 months,Cochrane class pool,9,0.2916091699352105,4.413102315771744e-4,0.5827770296388439,2,CDR-SB: dementia benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
2.1,CDR-SB scale at 18 months,Currently active agents: lecanemab + donanemab,2,0.5640644275317617,0.32000827309977864,0.8081205819637447,1,CDR-SB: MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
2.1,CDR-SB scale at 18 months,Currently active agents: lecanemab + donanemab,2,0.5640644275317617,0.32000827309977864,0.8081205819637447,2,CDR-SB: dementia benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
2.1,CDR-SB scale at 18 months,Response primary: clearing approved-generation trials,4,0.3852628775661822,-0.09087235979572532,0.8613981149280898,1,CDR-SB: MCI benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
2.1,CDR-SB scale at 18 months,Response primary: clearing approved-generation trials,4,0.3852628775661822,-0.09087235979572532,0.8613981149280898,2,CDR-SB: dementia benchmark cited by Cochrane,Threshold excluded by 95% CI,18-month use still exceeds cited 6-12 month derivation
2.3,CDR-SB scale above 24 months,Cochrane class pool,2,0.22751432080982503,-0.06185414496556835,0.5168827865852184,1,CDR-SB: MCI benchmark cited by Cochrane; not horizon-validated,Threshold excluded by 95% CI,Threshold originated from shorter follow-up
2.3,CDR-SB scale above 24 months,Cochrane class pool,2,0.22751432080982503,-0.06185414496556835,0.5168827865852184,2,CDR-SB: dementia benchmark cited by Cochrane; not horizon-validated,Threshold excluded by 95% CI,Threshold originated from shorter follow-up
