Study,analysis_id,Analysis.name,clinical_window,pet_week,amyloid_change_cl,amyloid_source,mapping_note,pairing_status,instrument_status,source_locator,source_review_status
EMERGE 2022,1.1,ADAS-Cog scale at 18 months,18 months,78,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | EMERGE 2022 | 1.1,Single-reviewer audit; independent extraction verification pending
ENGAGE 2022,1.1,ADAS-Cog scale at 18 months,18 months,78,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks",Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | ENGAGE 2022 | 1.1,Single-reviewer audit; independent extraction verification pending
ENVISION,1.1,ADAS-Cog scale at 18 months,18 months,NA,NA,Not available,No matched trial-level Centiloid estimate,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | ENVISION | 1.1,Single-reviewer audit; independent extraction verification pending
3000 Non Carriers 2016,1.1,ADAS-Cog scale at 18 months,18 months,NA,6.52,Imbimbo 2024 Table 1,Highest-dose bapineuzumab arm,PET time requires verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | 3000 Non Carriers 2016 | 1.1,Single-reviewer audit; independent extraction verification pending
3001 Carriers 2016,1.1,ADAS-Cog scale at 18 months,18 months,NA,-9.6,Imbimbo 2024 Table 1,Bapineuzumab 0.5 mg/kg arm,PET time requires verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | 3001 Carriers 2016 | 1.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-301 2014,1.1,ADAS-Cog scale at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | Bapineuzumab-301 2014 | 1.1,Single-reviewer audit; independent extraction verification pending
Bapineuzumab-302 2014,1.1,ADAS-Cog scale at 18 months,18 months,NA,NA,Not available,No unambiguous matched trial-level estimate,Unknown / quarantined,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | Bapineuzumab-302 2014 | 1.1,Single-reviewer audit; independent extraction verification pending
CREAD 2 2022,1.1,ADAS-Cog scale at 18 months,18 months,53,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks",Time mismatch,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | CREAD 2 2022 | 1.1,Single-reviewer audit; independent extraction verification pending
TRAILBLAZER-ALZ 2 2023,1.1,ADAS-Cog scale at 18 months,18 months,76,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks",Time-compatible; dose and population require source verification,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | TRAILBLAZER-ALZ 2 2023 | 1.1,Single-reviewer audit; independent extraction verification pending
SCarlet RoAD 2017,1.1,ADAS-Cog scale at 18 months,18 months,104,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks,Time mismatch,Exact ADAS-Cog version requires trial-level verification; MD provisional,CD016297-data-rows.csv | SCarlet RoAD 2017 | 1.1,Single-reviewer audit; independent extraction verification pending
