Study,amyloid_change_cl,amyloid_source,mapping_note
EMERGE 2022,-48.74,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks"
ENGAGE 2022,-42.24,Imbimbo 2024 Table 1,"High-dose aducanumab, 78 weeks"
ENVISION,NA,Not available,No matched trial-level Centiloid estimate
3000 Non Carriers 2016,6.52,Imbimbo 2024 Table 1,Highest-dose bapineuzumab arm
3001 Carriers 2016,-9.6,Imbimbo 2024 Table 1,Bapineuzumab 0.5 mg/kg arm
Bapineuzumab-301 2014,NA,Not available,No unambiguous matched trial-level estimate
Bapineuzumab-302 2014,NA,Not available,No unambiguous matched trial-level estimate
CREAD 2 2022,-3.79,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 53 weeks"
CREAD 2022,-1.99,Imbimbo 2024 Table 1,"Crenezumab 60 mg/kg, 105 weeks"
TRAILBLAZER-ALZ 2 2023,-86.33,Imbimbo 2024 Table 1,"Donanemab, 76 weeks"
SCarlet RoAD 2017,-12.64,Imbimbo 2024 Table 1,Gantenerumab 225 mg every 4 weeks
Marguerite RoAD 2024,NA,Neve 2024 doi:10.3233/JAD-240221,Prior -59.65 CL mapping quarantined: high-dose extension PET cannot establish placebo-adjusted removal during the low-dose randomized phase; compatible PET estimate unknown
CLARITY AD 2023,-59.12,Imbimbo 2024 Table 1,Lecanemab 10 mg/kg every 2 weeks
EXPEDITION - EXPEDITION 2 2016,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target
EXPEDITION 3 2018,NA,Not available,No plaque PET reduction estimate; soluble-Aβ target
GRADUATE I 2023,-66.44,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116"
GRADUATE II 2023,-56.46,Bateman 2023 NEJM,"Adjusted active-placebo Centiloid difference, week 116"
